position,temperature
0.000000,300.000000
0.020000,308.268114
0.040000,316.430024
0.060000,324.463395
0.080000,332.346731
0.100000,340.059436
0.120000,347.581871
0.140000,354.895411
0.160000,361.982489
0.180000,368.826643
0.200000,375.412557
0.220000,381.726097
0.240000,387.754342
0.260000,393.485607
0.280000,398.909472
0.300000,404.016791
0.320000,408.799712
0.340000,413.251681
0.360000,417.367442
0.380000,421.143045
0.400000,424.575831
0.420000,427.664425
0.440000,430.408724
0.460000,432.809873
0.480000,434.870248
0.500000,436.593421
0.520000,437.984140
0.540000,439.048283
0.560000,439.792828
0.580000,440.225808
0.600000,440.356269
0.620000,440.194219
0.640000,439.750579
0.660000,439.037132
0.680000,438.066465
0.700000,436.851914
0.720000,435.407502
0.740000,433.747881
0.760000,431.888266
0.780000,429.844374
0.800000,427.632361
0.820000,425.268750
0.840000,422.770372
0.860000,420.154298
0.880000,417.437771
0.900000,414.638140
0.920000,411.772797
0.940000,408.859111
0.960000,405.914364
0.980000,402.955687
1.000000,400.000000
